Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
154,Saison Bernice,Sante Adairius Rustic Ales,Saison / Farmhouse Ale,6.50%,4.4,823,165
155,Consecration,Russian River Brewing Company,American Wild Ale,10.00%,4.4,5170,2
156,Born Yesterday Pale Ale,Lagunitas Brewing Company,American Pale Ale (APA),7.00%,4.4,2156,123
157,Second Fiddle,Fiddlehead Brewing Company,American Double / Imperial IPA,8.20%,4.4,1667,57
158,Westly,Sante Adairius Rustic Ales,American Wild Ale,8.50%,4.4,226,100
159,Double Dry Hopped Sleeper Street,Trillium Brewing Company,American IPA,7.20%,4.4,638,163
160,Montmorency Vs Balaton,Jester King Brewery,American Wild Ale,6.70%,4.4,674,142
161,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale,29.00%,4.4,2458,141
162,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.40%,4.4,8111,65
163,Epiphany,Foundation Brewing Company,American Double / Imperial IPA,8.00%,4.4,828,28
164,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Oatmeal Stout,14.50%,4.4,520,140
165,Rodenbach CaractŠre Rouge,Brouwerij Rodenbach N.V.,Flanders Red Ale,7.00%,4.4,1348,62
166,Dreadnaught IPA,Three Floyds Brewing Company,American Double / Imperial IPA,9.50%,4.4,5930,10
167,AleSmith Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.4,1649,38
168,West Ashley,Sante Adairius Rustic Ales,American Wild Ale,7.30%,4.4,931,180
169,Softly Spoken Magic Spells,SingleCut Beersmiths,American Double / Imperial IPA,8.60%,4.4,519,26
170,Rare Scooop,Peg's Cantina & Brew Pub,American Double / Imperial Stout,Imperial,4.39,93,69
171,Ghost In The Machine,Parish Brewing Company,American Double / Imperial IPA,8.00%,4.39,519,174
172,Matt,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Strong Ale,11.50%,4.39,826,82
173,Dusk Trill Dawn,Trillium Brewing Company,American Double / Imperial Stout,11.50%,4.39,335,144
174,Ground State - 2nd Anniversary Beer,Bottle Logic Brewing,American Double / Imperial Stout,12.50%,4.39,361,149
175,Society & Solitude #6,Hill Farmstead Brewery,American Double / Imperial IPA,8.10%,4.39,668,162
176,Double Dry Hopped Scaled,Trillium Brewing Company,American IPA,7.00%,4.39,555,162
177,Vicinity,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.39,1241,47
178,Leche Borracho,Bottle Logic Brewing,American Double / Imperial Stout,11.00%,4.39,243,131
179,Great,Alpine Beer Company,American Barleywine,14.00%,4.39,648,44
180,Nut Smasher,Willoughby Brewing,American Double / Imperial Stout,11.00%,4.39,288,148
181,Citra Showers,Noble Ale Works,American Double / Imperial IPA,8.80%,4.39,477,160
182,P‚ch‚ Mortel,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.50%,4.39,4998,11
183,Tweak,Avery Brewing Company,American Double / Imperial Stout,17.81%,4.39,2070,86
184,Stone Enjoy By IPA,Stone Brewing,American Double / Imperial IPA,9.40%,4.39,10503,6
185,Scaled Up,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.38,595,176
186,Saison Du Fermier,Side Project Brewing,Saison / Farmhouse Ale,7.00%,4.38,611,127
187,Trademark Dispute: Pallet 1,Peg's Cantina & Brew Pub,American Double / Imperial Stout,10.40%,4.38,258,127
188,Spotted Puffer,Pipeworks Brewing Company,American Double / Imperial IPA,9.50%,4.38,292,127
189,Edward,Hill Farmstead Brewery,American Pale Ale (APA),5.20%,4.38,2550,112
190,XHOPS (Gold Label),Toppling Goliath Brewing Company,American Pale Ale (APA),5.30%,4.38,383,162
191,Curiosity Twenty Seven,Tree House Brewing Company,American Double / Imperial IPA,8.00%,4.38,92,69
192,Mexican Brunch,Kane Brewing Company,American Porter,9.20%,4.38,165,69
193,Winter Ale / 5th Anniversary Ale,Kern River Brewing Company,American Double / Imperial IPA,8.00%,4.38,272,182
194,Yellow Rose,The Lone Pint Brewery,American IPA,6.80%,4.38,1564,72
195,Cascade Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.50%,4.38,1592,71
196,Sure Bet,Pipeworks Brewing Company,American Double / Imperial IPA,9.50%,4.38,507,152
197,Sculpin IPA,Ballast Point Brewing Company,American IPA,7.00%,4.38,13520,64
198,Madagascar,4 Hands Brewing Company,Milk / Sweet Stout,9.30%,4.38,617,158
199,Exponential Hoppiness,Alpine Beer Company,American Double / Imperial IPA,11.00%,4.37,1292,119
