"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
132,"Funky Buddha Brewery","Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1702,83
133,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,645,20
134,"Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9338,68
135,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,731,18
136,"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1853,103
137,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1251,102
138,"Peg's Cantina & Brew Pub","Rare Scooop","American Double / Imperial Stout","Imperial",4.42,103,77
139,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2015,140
140,"Columbus Brewing Company","Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1424,61
141,"Hill Farmstead Brewery","Juicy","Saison / Farmhouse Ale","7.40%",4.41,464,173
142,"Grimm Artisanal Ales","Afterimage","American Double / Imperial IPA","8.00%",4.41,429,173
143,"Russian River Brewing Company","Temptation","American Wild Ale","7.50%",4.41,3625,1
144,"Surly Brewing Company","Darkness","Russian Imperial Stout","10.30%",4.41,3717,183
145,"New England Brewing Company","Coriolis","American Double / Imperial IPA","8.20%",4.41,560,164
146,"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1971,87
147,"The Bruery","Chocolate Rain","American Double / Imperial Stout","18.50%",4.41,2603,116
148,"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,288,136
149,"Tree House Brewing Company","Triple Shot","American Double / Imperial Stout","9.00%",4.41,254,110
150,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,32
151,"Perennial Artisan Ales","Abraxas","American Double / Imperial Stout","10.00%",4.41,2380,105
152,"Jackie O's Pub & Brewery","Oro Negro","American Double / Imperial Stout","10.50%",4.41,637,17
153,"Sante Adairius Rustic Ales","Saison Bernice","Saison / Farmhouse Ale","6.50%",4.41,835,175
154,"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1368,63
155,"Peg's Cantina & Brew Pub","Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.41,282,142
156,"Trillium Brewing Company","Double Dry Hopped Sleeper Street","American IPA","7.20%",4.41,692,173
157,"Pelican Pub & Brewery","Mother Of All Storms","English Barleywine","14.00%",4.41,1916,139
158,"Aslin Beer Company","Orange Starfish","American IPA","5.70%",4.41,130,97
159,"Fiddlehead Brewing Company","Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1685,59
160,"Lagunitas Brewing Company","Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2211,134
161,"Russian River Brewing Company","Consecration","American Wild Ale","10.00%",4.4,5189,2
162,"Tree House Brewing Company","Curiosity Twenty Seven","American Double / Imperial IPA","8.00%",4.4,115,77
163,"Sante Adairius Rustic Ales","Westly","American Wild Ale","8.50%",4.4,229,110
164,"Jester King Brewery","Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,687,151
165,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,539,156
166,"Willoughby Brewing","Nut Smasher","American Double / Imperial Stout","11.00%",4.4,293,156
167,"Foundation Brewing Company","Epiphany","American Double / Imperial IPA","8.00%",4.4,841,30
168,"Boston Beer Company (Samuel Adams)","Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2477,150
169,"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8136,67
170,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1690,42
171,"Trillium Brewing Company","Dialed In (w/ Sauvignon Blanc Juice)","American Double / Imperial IPA","8.50%",4.4,450,159
