"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"119","Founders Brewing Company","Founders CBS (Canadian Breakfast Stout)","235 Grandville Ave SW","","Grand Rapids","MI","49503","42.958697",-85.673522
"120","Fremont Brewing Company","B-Bomb (Bourbon Abominable Winter Ale)","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"121","Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"122","Fremont Brewing Company","Bourbon Abominable Winter Ale","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"123","Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"124","Fremont Brewing Company","The Rusty Nail","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"125","Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"126","Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"127","Funky Buddha Brewery","Morning Wood","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"128","Funky Buddha Brewery","Maple Bacon Coffee Porter","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"129","Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"130","Funky Buddha Brewery","Last Buffalo In The Park","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"131","Funky Buddha Brewery","Last Snow","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"132","Funky Buddha Brewery","Wide Awake It's Morning","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"133","Goose Island Beer Company","Bourbon County Brand Coffee Stout","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"134","Goose Island Beer Company","Rare Bourbon County Brand Stout (2015)","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"135","Goose Island Beer Company","Bourbon County Brand Stout","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"136","Goose Island Beer Company","Bourbon County Brand Barleywine Ale","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"137","Grassroots Brewing","Grassroots Brother Soign‚","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"138","Great Lakes Brewing Company","Great Lakes Barrel-Aged Blackout Stout","2516 Market Ave","","Cleveland","OH","44113","41.4843807",-81.7067074
"139","Great Notion Brewing","Double Stack","2204 NE Alberta St","#101","Portland, ","OR","97211","45.5588904",-122.6426705
"140","Great Notion Brewing","Double Stack","2204 NE Alberta St ","#101","Portland, ","OR ","97211","45.5588904",-122.6426705
"141","Green Man Brewery","Snozzberry","27 Buxton Ave","","Asheville","NC","28801","35.5886669",-82.5523973
"142","Green Man Brewery","Snozzberry","27 Buxton Ave","","Asheville ","NC","28801","35.5886669",-82.5523973
"143","Grimm Artisanal Ales","Lumen","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
